"No","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1644,"SHIP CONSTRUCTION","Meath","Church View, Rathmolyon",9,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
1645,"SHIP CONSTRUCTION","Meath","Church Street, Kells, Co. Meath",3,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1646,"SHIP CONSTRUCTION","Meath","Haggard Street, Trim, Co. Meath",4,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1647,"SHIP CONSTRUCTION","Meath","Pitcher Lane, Kells, Co. Meath",4,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1648,"SHIP CONSTRUCTION","Meath","Swan Lane, Balreask",6,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
1649,"SHIP CONSTRUCTION","Meath","Carrick St., Kells",30,"*N/A","Stage 1 approved Q1-2019, outline design and costs being prepared.","","","","",""
1650,"SHIP CONSTRUCTION","Meath","Lagore, Dunshaughlin",34,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
1651,"SHIP CONSTRUCTION","Meath","Convent Lands, Kildalkey, Athboy, Meath",20,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
1652,"SHIP CONSTRUCTION","Monaghan","McCurtain Street, Clones",1,"*N/A","","","","","Q2-2020",""
1653,"SHIP CONSTRUCTION","Monaghan","Bree, Castleblayney",8,"*N/A","","","","","","Q2-2019"
1654,"SHIP CONSTRUCTION","Monaghan","Latlorcan, Monaghan Town",43,"*N/A","","","","","","Q4-2019"
1655,"CAS CONSTRUCTION","Monaghan","Drumillard, Castleblayney (Phase 2)",2,"Castleblayney Care Housing Association Ltd","","","Stage 3 approved Q4-2019, the scheme is now approved to proceed to tender.","","",""
1656,"CAS CONSTRUCTION","Monaghan","Liseggerton, Clones",19,"Oaklee Housing Trust","","","","","Q1-2020",""
1657,"CAS CONSTRUCTION","Monaghan","Convent Lands, Carrickmacross",7,"Respond","","","","","","Q2-2017"
1658,"CAS CONSTRUCTION","Monaghan","Birch Court Apts., 34 Main Street, Ballybay",4,"North ? East Housing Association Ltd","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
1659,"CALF Turnkey","Monaghan","Bree, Castleblayney, Co. Monaghan (Phase 1)",11,"T�ath Housing Association Ltd","","","","","Q2-2019",""
1660,"CALF Turnkey","Monaghan","Bree, Castleblayney, Co. Monaghan (Phase 2)",6,"T�ath Housing Association Ltd","","","","","Q2-2019",""
1661,"CALF Turnkey","Monaghan","Bree, Castleblayney, Co. Monaghan (Phase 3)",8,"T�ath Housing Association Ltd","","","","","Q2-2019",""
1662,"CALF Turnkey","Monaghan","Bree, Castleblayney, Co. Monaghan (Phase 4)",13,"T�ath Housing Association Ltd","","","","","Q2-2019",""
1663,"CALF Turnkey","Monaghan","Kingscourt Road, Carrickmacross, Co Monaghan  (Phase 1)",50,"Respond","","","","","","Q4-2019"
1664,"CALF Turnkey","Monaghan","Magheross, Carrickmacross, Co Monaghan (Phase 1)",7,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1665,"CALF Turnkey","Monaghan","Magheross, Carrickmacross, Co Monaghan (Phase 2)",4,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1666,"CALF Turnkey","Monaghan","Magheross, Carrickmacross, Co Monaghan (Phase 3)",4,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1667,"CALF Turnkey","Monaghan","Magheross, Carrickmacross, Co Monaghan (Phase 4)",4,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1668,"CALF Turnkey","Monaghan","Magheross, Carrickmacross, Co Monaghan (Phase 5)",14,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1669,"CALF Construction","Monaghan","Post Tender - Liseggerton Road, Clones (Phase 1)",6,"Oaklee Housing","","","","","","Q4-2018"
1670,"SHIP CONSTRUCTION TURNKEY","Offaly","McGregol, Birr (Phase 2)",8,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
1671,"SHIP CONSTRUCTION TURNKEY","Offaly","Mill Race, Ferbane",5,"*N/A","","","","","","Q4-2017"
1672,"SHIP CONSTRUCTION TURNKEY","Offaly","Cluain na Spideoga, Cloghan",6,"*N/A","","","","","","Q2-2019"
1673,"SHIP CONSTRUCTION TURNKEY","Offaly","Frankford, Kilcormac",12,"*N/A","","","","","","Q4-2018"
1674,"SHIP CONSTRUCTION TURNKEY","Offaly","McGregol, Birr (Phase 1)",4,"*N/A","","","","","","Q4-2019"
1675,"SHIP CONSTRUCTION TURNKEY","Offaly","Cluain na Greine, Cloneygowan",4,"*N/A","","","","","","Q4-2019"
1676,"SHIP CONSTRUCTION","Monaghan","Davy's & Adjacent Porperty, Fermanagh St., Clones",3,"*N/A","","","","","Q3-2019",""
1677,"SHIP CONSTRUCTION","Monaghan","Boyle Sports Site, Fermanagh St., Clones",3,"*N/A","","","","","Q3-2019",""
1678,"SHIP CONSTRUCTION","Monaghan","82 & 83 Fermanagh St., Clones",3,"*N/A","","","","","Q3-2019",""
1679,"SHIP CONSTRUCTION","Monaghan","An Bonnan Bui & Flower Shop, Fermanagh St., Clones",6,"*N/A","","","","","Q3-2019",""
1680,"SHIP CONSTRUCTION","Monaghan","2a & 3 Analore St., Clones",2,"*N/A","","","","","Q3-2019",""
1681,"SHIP CONSTRUCTION","Monaghan","Abbey Gatehouse, Analore St., Clones",4,"*N/A","","","","","Q3-2019",""
1682,"SHIP CONSTRUCTION","Monaghan","Lui Na Greine, Scotstown",32,"*N/A","","","","","Q2-2020",""
1683,"SHIP CONSTRUCTION","Monaghan","Latlorcan, Monaghan",16,"*N/A","","","","","","Q4-2018"
1684,"SHIP CONSTRUCTION","Monaghan","12 Church St., Ballybay",2,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
1685,"SHIP CONSTRUCTION","Monaghan","3 Apts @ 63 Fermanagh St., Clones",3,"*N/A","","","","","Q1-2020",""
1686,"CAS CONSTRUCTION","Offaly","Mountbolus",4,"Mid Offaly Housing Association Ltd","","","","","","Q4-2019"
1687,"CAS CONSTRUCTION","Offaly","Killane Court, Edenderry",2,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1688,"CAS CONSTRUCTION","Offaly","Scurragh, Birr (AKA Camcor Green)",6,"Cluid Housing Association","","","","","","Q4-2019"
1689,"CAS CONSTRUCTION","Offaly","Clonminch, Tullamore",19,"Oaklee Housing Trust","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
1690,"CAS CONSTRUCTION","Offaly","Presentation Convent, Portarlington",32,"Sophia Housing Association Ltd","Stage 1 approved Q1-2019, outline design and costs being prepared.","","","","",""
1691,"CALF Turnkey","Offaly","3 units, An Corran, Crinkle, Birr, Co. Offaly (Phase 1)",3,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
1692,"CALF Construction","Offaly","Kearney�s Field, Tullamore, Co. Offaly (Phase 1)",41,"Oaklee Housing","","","","Q2-2019","",""
1693,"CALF Construction","Offaly","Killane Drive, Edenderry, Co Offaly (Phase 1)",25,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1694,"CALF Turnkey","Offaly","Riverside, Portarlington, Co. Offaly (Phase 1)",8,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1695,"CALF Turnkey","Offaly","Riverside, Portarlington, Co. Offaly (Phase 2)",8,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1696,"SHIP CONSTRUCTION TURNKEY","Roscommon","Monksland, Athlone",10,"*N/A","","","","","","Q3-2018"
1697,"SHIP CONSTRUCTION TURNKEY","Roscommon","Station Road, Termon, Boyle",10,"*N/A","","","","","","Q1-2019"
1698,"SHIP CONSTRUCTION TURNKEY","Roscommon","Lisroyne Court, Strokestown",10,"*N/A","","","","","","Q4-2019"
1699,"SHIP CONSTRUCTION TURNKEY","Roscommon","Warren Grove, Boyle",4,"*N/A","","","","","","Q4-2018"
1700,"SHIP CONSTRUCTION TURNKEY","Roscommon","Monksfield, Monksland, Co. Roscommon",2,"*N/A","","","","","Q3-2019",""
1701,"SHIP CONSTRUCTION","Monaghan","2 Units @ 13 Church Hill, Clones",2,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
1702,"SHIP CONSTRUCTION","Offaly","Chancery Lane, Tullamore",14,"*N/A","","","","","Q3-2018",""
1703,"SHIP CONSTRUCTION","Offaly","Circular Road, Daingean",7,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
1704,"SHIP CONSTRUCTION","Offaly","Kylebeg, Banagher (Phase 2)",18,"*N/A","","","Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.","","",""
1705,"SHIP CONSTRUCTION","Offaly","Blundell Wood, Edenderry",33,"*N/A","","","","","","Q4-2019"
1706,"SHIP CONSTRUCTION","Offaly","Church Street, Clara",3,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1707,"SHIP CONSTRUCTION","Offaly","Beechgrove, Belmont",7,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1708,"SHIP CONSTRUCTION","Offaly","Raheen ,Clara",38,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1709,"CALF Turnkey","Roscommon","Castle View Apartments, Block A, Roscommon Town (Phase 1)",10,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2019",""
1710,"CALF Turnkey","Roscommon","Castle View Apartments, Block B, Roscommon Town (Phase 1)",10,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
1711,"CALF Turnkey","Roscommon","Monksland, Athlone, Co. Roscommon (Phase 1)*",35,"T�ath Housing Association Ltd","","","","","Q4-2019",""
1712,"CALF Turnkey","Roscommon","Revised - Monksfield Park, Bealnamulla, Athlone (Phase 1)",13,"Cluid Housing","","","","","","Q3-2018"
1713,"CALF Turnkey","Roscommon","River Oaks, Kilcolman, Ballaghaderreen, Co. Roscommon (Phase 1)",12,"Respond","","","","","","Q1-2018"
1714,"SHIP CONSTRUCTION TURNKEY","Sligo","Fairgreen Square, Ballisodare",2,"*N/A","","","","","","Q4-2019"
1715,"SHIP CONSTRUCTION","Offaly","Elderberry Drive, Moneygall",4,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1716,"SHIP CONSTRUCTION","Offaly","Sr. Senan Avenue, Edenderry",4,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1717,"SHIP CONSTRUCTION","Offaly","Chancery Lane, Tullamore (Phase 2)",20,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1718,"SHIP CONSTRUCTION","Roscommon","Cloonfad",3,"*N/A","","","","","Q4-2019",""
1719,"SHIP CONSTRUCTION","Roscommon","Greenfields, Blackstick Road, Roscommon Town",6,"*N/A","","","","","","Q3-2017"
1720,"SHIP CONSTRUCTION","Roscommon","River Oaks, Ballaghaderreen",10,"*N/A","","","","","","Q4-2017"
1721,"SHIP CONSTRUCTION","Roscommon","Silveroe Meadows, Boyle",12,"*N/A","","","","","Q1-2020",""
1722,"SHIP CONSTRUCTION","Roscommon","Cluain Fraoigh, Cloonbeirne",7,"*N/A","","","","","Q4-2019",""
1723,"SHIP CONSTRUCTION","Roscommon","Old Tuam Road,  Monksland, Athlone",2,"*N/A","","","","","Q1-2020",""
1724,"SHIP CONSTRUCTION","Roscommon","Meadowbrook, Ballyclare Td., Ballyleague, Co. Roscommon",18,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1725,"SHIP CONSTRUCTION","Roscommon","Lisroyne Td., Strokestown",10,"*N/A","","","Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.","","",""
1726,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Roscommon","The Walk, Roscommon Town",53,"*N/A","","","","","Q4-2019",""
1727,"CAS CONSTRUCTION","Sligo","Cuan Iosa, Ballymote",8,"Society of Saint Vincent de Paul","","","","","Q4-2018",""
1728,"CAS CONSTRUCTION","Sligo","Killeshin, First Sea Road, Sligo",4,"Newgrove Housing Association Ltd","","","Stage 3 approved Q4-2019, the scheme is now approved to proceed to tender.","","",""
1729,"SHIP CONSTRUCTION TURNKEY","South Dublin","Ardsolus, Kingswood, Dublin 24",2,"*N/A","","","","","","Q4-2018"
1730,"SHIP CONSTRUCTION TURNKEY","South Dublin","White Pines, Stocking Avenue, Rathfarnham, Dublin 16",26,"*N/A","","","","","","Q4-2018"
1731,"SHIP CONSTRUCTION TURNKEY","South Dublin","Shackleton Park / Gandon Park, Adamstown",22,"*N/A","","","","","","Q4-2019"
1732,"SHIP CONSTRUCTION TURNKEY","South Dublin","Gandon Park, Adamstown, Lucan",12,"*N/A","","","","","","Q4-2019"
1733,"SHIP CONSTRUCTION RAPID","South Dublin","Killininny Road, Firhouse (Old Mill, Old Bawn)",24,"*N/A","","","","","","Q4-2018"
1734,"SHIP CONSTRUCTION RAPID","South Dublin","St Cuthbert's, Clondalkin (Phase 1)",63,"*N/A","","","","","","Q3-2019"
1735,"SHIP CONSTRUCTION RAPID","South Dublin","St. Aidan's Brookfield, Tallaght",47,"*N/A","","","","","","Q2-2018"
1736,"SHIP CONSTRUCTION RAPID","South Dublin","St. Aidan's Brookfield, Tallaght",22,"*N/A","","","","","","Q3-2018"
1737,"SHIP CONSTRUCTION RAPID","South Dublin","St. Aidan's Brookfield, Tallaght",21,"*N/A","","","","","","Q4-2018"
1738,"SHIP CONSTRUCTION RAPID","South Dublin","Riversdale, Clondalkin, Dublin 22",43,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
1739,"SHIP CONSTRUCTION RAPID","South Dublin","Riverside Cottages, Templeogue",11,"*N/A","","Stage 2 approved Q1-2019, full design/tender being prepared.","","","",""
1740,"SHIP CONSTRUCTION","Sligo","St. Joseph's Terrace, Sligo",1,"*N/A","","","","","","Q4-2019"
1741,"SHIP CONSTRUCTION","Sligo","Collooney",18,"*N/A","","","","","","Q4-2019"
1742,"SHIP CONSTRUCTION","Sligo","Knappagh Road",28,"*N/A","","","","","Q4-2018",""
1743,"SHIP CONSTRUCTION","Sligo","Caltragh, Culleens",1,"*N/A","","","","","","Q4-2018"
1744,"SHIP CONSTRUCTION","Sligo","Fr. Flanagan Terrace",14,"*N/A","","","","","","Q3-2018"
1745,"SHIP CONSTRUCTION","Sligo","Daghloonagh, Keash - SRD",1,"*N/A","","","","","","Q4-2016"
1746,"SHIP CONSTRUCTION","Sligo","Rosses Point",14,"*N/A","","","","","","Q4-2019"
1747,"SHIP CONSTRUCTION","Sligo","Fr. Flanagan Terrace",8,"*N/A","","","","","","Q4-2017"
1748,"SHIP CONSTRUCTION","Sligo","Connolly Park, Tubbercurry",10,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
1749,"SHIP CONSTRUCTION","Sligo","Dromore West",10,"*N/A","","","","","Q4-2019",""
1750,"SHIP CONSTRUCTION","Sligo","House at Ballinode",1,"*N/A","","","","","","Q4-2018"
1751,"SHIP CONSTRUCTION","Sligo","SRD ar Crowagh, Dromore West",1,"*N/A","","","Stage 3 approved Q4-2019, the scheme is now approved to proceed to tender.","","",""
1752,"SHIP CONSTRUCTION","South Dublin","Killinarden, Tallaght",17,"*N/A","","","","","","Q4-2018"
1753,"SHIP CONSTRUCTION","South Dublin","Letts Field, Neilstown, Clondalkin",37,"*N/A","","","","","","Q4-2018"
1754,"SHIP CONSTRUCTION","South Dublin","Owendoher, Ballyboden,  Rathfarnham",40,"*N/A","","","","","","Q1-2019"
1755,"SHIP CONSTRUCTION","South Dublin","Dromcarra, Tallaght",14,"*N/A","","","","","","Q4-2018"
1756,"CAS CONSTRUCTION","South Dublin","Collinstown Grove, Clondalkin",4,"T�ath Housing Association Ltd","","","","","","Q1-2020"
1757,"CAS CONSTRUCTION","South Dublin","Old Nangor Road, Clondalkin",10,"Simon Community : Dublin Simon","","","","","Q4-2019",""
1758,"CALF Turnkey","South Dublin","2 properties Tullyhall, Lucan, County Dublin (Phase 1)*",2,"T�ath Housing Association Ltd","","","","","","Q2-2019"
1759,"CALF Turnkey","South Dublin","6 units Elder Heath, Kiltipper Road, Tallaght, Dublin 24 (Phase 1)*",6,"Cluid Housing","","","","","","Q4-2019"
1760,"CALF Turnkey","South Dublin","Ardsolus, Old Naas Road, Dublin 22 (Phase 1)",10,"Respond","","","","","","Q3-2019"
1761,"CALF Turnkey","South Dublin","Ballynakelly, Newcastle, Co. Dublin (Phase 1)",6,"T�ath Housing Association Ltd","","","","","","Q4-2018"
1762,"CALF Turnkey","South Dublin","Ballynakelly, Newcastle, Co. Dublin (Phase 2)",4,"T�ath Housing Association Ltd","","","","","","Q1-2019"
1763,"CALF Turnkey","South Dublin","Balrothery, Castletymon Road, Dublin Road (Phase 1)*",13,"Cluid Housing","","","","","","Q4-2019"
1764,"CALF Turnkey","South Dublin","Broadfield Grove, Rathcoole, Co. Dublin (Phase 1)*",14,"Oaklee Housing","","","","","","Q3-2017"
1765,"CALF Turnkey","South Dublin","Burgage Gardens, Newcastle, Co. Dublin (Phase 1)*",4,"Respond","","","","","","Q2-2020"
1766,"CALF Turnkey","South Dublin","Burgage, Newcastle, Co. Dublin (Phase 1)",10,"Respond","","","","","","Q4-2019"
1767,"CALF Turnkey","South Dublin","Burgage, Newcastle, Co. Dublin (Phase 2)",26,"Respond","","","","","","Q2-2020"
1768,"CALF Turnkey","South Dublin","Cloverhill Road, Raheen, Clondalkin, Dublin 22 (Phase 1)",42,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1769,"CALF Turnkey","South Dublin","Cloverhill Road, Raheen, Clondalkin, Dublin 22 (Phase 2)",21,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1770,"CALF Turnkey","South Dublin","Cloverhill Road, Raheen, Clondalkin, Dublin 22 (Phase 3)",12,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1771,"CALF Turnkey","South Dublin","Cloverhill Road, Raheen, Clondalkin, Dublin 22 (Phase 4)*",8,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1772,"CALF Turnkey","South Dublin","Cuil Duin Green, Cuil Duin, Citywest, Dublin 24 (Phase 1)*",24,"Fold Housing Association Ireland Ltd","","","","","Q4-2018",""
1773,"CALF Turnkey","South Dublin","De Selby Lawns, Tallaght, Dublin 24 (Phase 1)",9,"T�ath Housing Association Ltd","","","","","","Q4-2019"
1774,"CALF Turnkey","South Dublin","Dodderbrook (Apartments), Oldcourt Road, Ballycullen, Dublin 24 (Phase 1)*",6,"Cluid Housing","","","","","","Q1-2018"
1775,"CALF Turnkey","South Dublin","Dodderbrook (Houses), Oldcourt Road, Ballycullen, Dublin 24 (Phase 1)*",8,"Cluid Housing","","","","","","Q1-2018"
1776,"CALF Turnkey","South Dublin","Dodderbrook, Old Court Rd, Ballycullen, Dublin 24 (Phase 1)*",4,"Cluid Housing","","","","","","Q4-2019"
1777,"CALF Turnkey","South Dublin","Dodderbrook, Old Court Rd, Ballycullen, Dublin 24 (Phase 2)*",9,"Cluid Housing","","","","","Q1-2019",""
1778,"CALF Turnkey","South Dublin","Dodderbrook, Oldcourt Road, Ballycllen, Dublin 24 (Phase 1)*",4,"Cluid Housing","","","","","","Q3-2018"
1779,"CALF Turnkey","South Dublin","Edenbrook, Citywest, Dublin 24 (Phase 1)",17,"T�ath Housing Association Ltd","","","","","","Q4-2019"
1780,"CALF Turnkey","South Dublin","Elder Heath, Kiltipper Road, Tallaght, Dublin 24  (Phase 1)*",18,"Cluid Housing","","","","","","Q1-2018"
1781,"CALF Turnkey","South Dublin","Elder Heath, Kiltipper Road, Tallaght, Dublin 24  (Phase 2)*",10,"Cluid Housing","","","","","","Q2-2018"
1782,"CALF Construction","South Dublin","Fernwood Green and Maplewood Heights, Tallaght, Dublin  (Phase 1)",40,"Cluid Housing","","","","Q4-2019","",""
1783,"CALF Turnkey","South Dublin","Finnstown, Lucan, Co. Dublin (Phase 1)",32,"Respond","","","","","Q4-2018",""
1784,"CALF Turnkey","South Dublin","Finnstown, Lucan, Co. Dublin (Phase 2)*",62,"Respond","","","","","Q4-2018",""
1785,"CALF Turnkey","South Dublin","Green Lane, Rathcoole, Co. Dublin (Phase 1)*",12,"T�ath Housing Association Ltd","","","","","Q2-2019",""
1786,"CALF Turnkey","South Dublin","Green Lane, Rathcoole, Co. Dublin (Phase 2)*",9,"T�ath Housing Association Ltd","","","","","Q2-2019",""
1787,"CALF Turnkey","South Dublin","Kingswood, Old Ballymount Road, Tallaght, Dublin 24 (Phase 1)*",24,"Respond","","","","","Q4-2018",""
1788,"CALF Turnkey","South Dublin","Millford Manor, Clondalkin - Apartments (Phase 1)*",13,"Cluid Housing","","","","","","Q2-2018"
1789,"CALF Turnkey","South Dublin","Millford Manor, Clondalkin - Apartments (Phase 2)",12,"Cluid Housing","","","","","","Q4-2018"
1790,"CALF Turnkey","South Dublin","Millford Manor, Clondalkin - Houses (Phase 1)",25,"Cluid Housing","","","","","","Q1-2017"
1791,"CALF Turnkey","South Dublin","Millford Manor, Clondalkin - Houses (Phase 2)",15,"Cluid Housing","","","","","","Q3-2017"
1792,"CALF Turnkey","South Dublin","Millford Manor, Cloverhill Road, Clondalkin, Dublin 22 (Phase 1)*",2,"Cluid Housing","","","","","","Q4-2018"
1793,"CALF Turnkey","South Dublin","New Bancroft, Tallaght, Dublin 24 (Phase 1)*",16,"Cluid Housing","","","","","","Q3-2017"
1794,"CALF Turnkey","South Dublin","Palmerstown Avenue, Dublin 20 (Phase 1)",7,"Respond","","","","","Q2-2019",""
1795,"CALF Turnkey","South Dublin","Palmerstown Way, Clondalkin, Dublin 22 (Phase 1)*",6,"T�ath Housing Association Ltd","","","","","","Q3-2018"
1796,"CALF Turnkey","South Dublin","Raheen House, Old Nangor Road, Clondalkin, Dublin 22 (Phase 1)",9,"Circle Voluntary Housing Association Ltd","","","","","","Q4-2019"
1797,"CALF Turnkey","South Dublin","Rathmill Meadows and Green, Rathcoole, Co. Dublin (Phase 1)*",11,"Oaklee Housing","","","","","","Q4-2019"
1798,"CALF Turnkey","South Dublin","Scholarstown Wood (Apartments), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 1)*",6,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2018"
1799,"CALF Turnkey","South Dublin","Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 1)*",3,"Circle Voluntary Housing Association Ltd","","","","","","Q4-2017"
1800,"CALF Turnkey","South Dublin","Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 2)*",4,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2018"
1801,"CALF Turnkey","South Dublin","Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 3)*",1,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2019"
1802,"CALF Turnkey","South Dublin","Shackleton Park, Lucan, Co. Dublin (Phase 1)*",8,"Cluid Housing","","","","","","Q2-2019"
1803,"CALF Turnkey","South Dublin","Somerton, Lucan, Co. Dublin (Phase 1)*",32,"Respond","","","","","","Q4-2019"
1804,"CALF Construction","South Dublin","St. Catherines, Killinarden, Tallaght, Dublin 24 (Phase 1)",2,"Sophia Housing Association Ltd","","","","Q2-2019","",""
1805,"CALF Turnkey","South Dublin","St. Johns, Firhouse, Dublin 24 (Phase 1)*",10,"Respond","","","","","","Q4-2019"
1806,"CALF Turnkey","South Dublin","Station Road, Clondalkin, Co. Dublin (Phase 1)",5,"Respond","","","","","","Q3-2017"
1807,"CALF Turnkey","South Dublin","Stone Masons Court, Fortunestown Lane, Citywest Dublin (Phase 1)*",12,"Cluid Housing","","","","","","Q2-2019"
1808,"CALF Turnkey","South Dublin","Temple Court, Temple Woods, Greenhills Road, Dublin 12 (Phase 1)*",6,"T�ath Housing Association Ltd","","","","","","Q4-2018"
1809,"CALF Turnkey","South Dublin","The Mews, Citywest Village, Citywest, Dublin 24 (Phase 1)*",22,"Fold Housing Association Ireland Ltd","","","","","Q3-2019",""
1810,"CALF Turnkey","South Dublin","The Rise, Citywest Village, Citywest, Dublin 24 (Phase 1)*",13,"Fold Housing Association Ireland Ltd","","","","","","Q4-2019"
1811,"CALF Construction","South Dublin","The Weir, Whitestown Way, Tallaght, Dublin 24 (Phase 1)",81,"Cluid Housing","","","","Q3-2020","",""
1812,"CALF Turnkey","South Dublin","Tullyhall, Lucan, Co Dublin (Phase 1)*",2,"T�ath Housing Association Ltd","","","","","","Q3-2017"
1813,"CALF Turnkey","South Dublin","Tullyhall, Lucan, Co Dublin (Phase 2)*",2,"T�ath Housing Association Ltd","","","","","","Q4-2018"
1814,"CALF Turnkey","South Dublin","Westpark, Garters Lane, Saggert, Co Dublin  (Phase 1)",28,"Cluid Housing","","","","","","Q4-2018"
1815,"CALF Turnkey","South Dublin","Westpark, Garters Lane, Saggert, Co Dublin  (Phase 2)",28,"Cluid Housing","","","","","","Q2-2019"
1816,"CALF Turnkey","South Dublin","Westpark, Garters Lane, Saggert, Co Dublin  (Phase 3)",28,"Cluid Housing","","","","","","Q4-2019"
1817,"CALF Turnkey","South Dublin","Wilkins Court, Limekiln Lane, Dublin 12 (Phase 1)*",6,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2019"
1818,"CALF Turnkey","South Dublin","Wilkins View, Greenhills, Dublin 12 (Phase 1)*",3,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2018"
1819,"SHIP CONSTRUCTION TURNKEY","Tipperary","Cloneen Road, Fethard",6,"*N/A","","","","","","Q2-2019"
1820,"SHIP CONSTRUCTION TURNKEY","Tipperary","Strylea, Fethard",3,"*N/A","","","","","Q4-2018",""
1821,"SHIP CONSTRUCTION TURNKEY","Tipperary","Ardan, Borrisokane",9,"*N/A","","","","","","Q4-2018"
1822,"SHIP CONSTRUCTION TURNKEY","Tipperary","An Grianan, Killenaule, Thurles",4,"*N/A","","","","","","Q4-2018"
1823,"SHIP CONSTRUCTION TURNKEY","Tipperary","Ardan, Borrisokane (Phase 2)",4,"*N/A","","","","","","Q2-2019"
1824,"SHIP CONSTRUCTION TURNKEY","Tipperary","An Grianan, Killenaule, Thurles (Phase 2)",5,"*N/A","","","","","","Q4-2019"
1825,"SHIP CONSTRUCTION TURNKEY","Tipperary","Prior Park, Clonmel",20,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
1826,"SHIP CONSTRUCTION TURNKEY","Tipperary","Ma Charoin, Manna South, Templemore",13,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
1827,"SHIP CONSTRUCTION TURNKEY","Tipperary","Cloneen Road, Fethard (Phase 2)",5,"*N/A","","","","","","Q3-2019"
1828,"SHIP CONSTRUCTION TURNKEY","Tipperary","Cloneen Road, Fethard (Phase 3)",6,"*N/A","","","","","","Q4-2019"
1829,"SHIP CONSTRUCTION TURNKEY","Tipperary","Glencree, Newport",3,"*N/A","","","","","","Q4-2019"
1830,"SHIP CONSTRUCTION TURNKEY","Tipperary","Cloneen Road, Fethard (Phase 4)",4,"*N/A","","","","","","Q4-2019"
1831,"SHIP CONSTRUCTION TURNKEY","Tipperary","An Grianan, Killenaule, Thurles (Phase 3)",5,"*N/A","","","","","","Q4-2019"
1832,"SHIP CONSTRUCTION TURNKEY","Tipperary","Prior Park, Clonmel",21,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
