"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
829,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Galway City","Ballyburke",74,"*N/A","","","","","Q4-2019",""
830,"SHIP CONSTRUCTION TURNKEY","Galway County","Lorro Gate, Prospect, Athenry",14,"*N/A","","","","","","Q4-2017"
831,"SHIP CONSTRUCTION TURNKEY","Galway County","Arvough, Kinvara",6,"*N/A","","","","","","Q4-2017"
832,"SHIP CONSTRUCTION TURNKEY","Galway County","Castlecourt, Abbey Street, Portumna",10,"*N/A","","","","","","Q4-2017"
833,"SHIP CONSTRUCTION TURNKEY","Galway County","Ashthorn Avenue, Headford",10,"*N/A","","","","","","Q4-2018"
834,"SHIP CONSTRUCTION TURNKEY","Galway County","Cuirt na hAbhann, Claregalway ",8,"*N/A","","","","","","Q4-2018"
835,"SHIP CONSTRUCTION TURNKEY","Galway County","Tulaigh na Gr�ine, Tullahill, Loughrea",19,"*N/A","","","","","","Q4-2019"
836,"SHIP CONSTRUCTION TURNKEY","Galway County","Gort na dTulach, Tullahill, Loughrea - Phase 2A",17,"*N/A","","","","","","Q4-2019"
837,"SHIP CONSTRUCTION TURNKEY","Galway County","Arvough, Kinvara",4,"*N/A","","","","","","Q4-2019"
838,"SHIP CONSTRUCTION TURNKEY","Galway County","Gort an Choirce, Tubber Road, Gort",53,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
839,"SHIP CONSTRUCTION TURNKEY","Galway County","Cois na hAbhainn, Tuam",2,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
840,"SHIP CONSTRUCTION TURNKEY","Galway County","P�irc an Triant�in, Tullahill, Loughrea, - Phase 3",10,"*N/A","","","","","Q3-2018",""
841,"SHIP CONSTRUCTION TURNKEY","Galway County","Gort na dTulach, Tullahill, Loughrea - Phase 2B",15,"*N/A","","","","","Q3-2018",""
842,"SHIP CONSTRUCTION TURNKEY","Galway County","Kylebroughlan, Moycullen ",8,"*N/A","","","","","Q3-2019",""
843,"SHIP CONSTRUCTION TURNKEY","Galway County","Kylebroughlan, Moycullen ",10,"*N/A","","","","","Q3-2019",""
844,"SHIP CONSTRUCTION TURNKEY","Galway County","Kylebroughlan, Moycullen ",8,"*N/A","","","","","Q3-2019",""
845,"SHIP CONSTRUCTION TURNKEY","Galway County","Kylebroughlan, Moycullen ",8,"*N/A","","","","","Q3-2019",""
846,"SHIP CONSTRUCTION TURNKEY","Galway County","Kylebroughlan, Moycullen ",10,"*N/A","","","","","Q3-2019",""
847,"SHIP CONSTRUCTION TURNKEY","Galway County","Garra� Mhic Aodha, Tubber Road, Gort ",31,"*N/A","","","","","Q2-2019",""
848,"SHIP CONSTRUCTION","Galway County","Esker Fields, Ballinasloe",2,"*N/A","","","","","","Q4-2019"
849,"SHIP CONSTRUCTION","Galway County","Garbally Drive, Ballinasloe",10,"*N/A","","","","","","Q3-2019"
850,"SHIP CONSTRUCTION","Galway County","Na Clocha Rua, An Cheathr� Rua",4,"*N/A","","","","","","Q4-2019"
851,"SHIP CONSTRUCTION","Galway County","Ardrahan (SRD)",1,"*N/A","","","","","","Q4-2017"
852,"SHIP CONSTRUCTION","Galway County","Callowfinish, Carna (SRD)",1,"*N/A","","","","","","Q2-2018"
853,"SHIP CONSTRUCTION","Galway County","Waterdale, Claregalway (SRD)",1,"*N/A","","","","","","Q4-2018"
854,"SHIP CONSTRUCTION","Galway County","Corndulla (SRD)",1,"*N/A","","","","","","Q1-2019"
855,"SHIP CONSTRUCTION","Galway County","Cill Ciar�n (SRD)",1,"*N/A","","","","","","Q3-2018"
856,"SHIP CONSTRUCTION","Galway County","Kinvara (SRD)",1,"*N/A","","","","","","Q3-2018"
857,"SHIP CONSTRUCTION","Galway County","Cnoc na Carraige, Roundstone",8,"*N/A","","","","","Q3-2019",""
858,"SHIP CONSTRUCTION","Galway County","Hospital Road, Clifden",16,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
859,"SHIP CONSTRUCTION","Galway County","Bridge Court, Ahascragh, Ballinasloe",18,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
860,"SHIP CONSTRUCTION","Galway County","Caisle�n Raithl�n, Ardrahan",12,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
861,"SHIP CONSTRUCTION","Galway County","Barrack Street, Loughrea",5,"*N/A","","","","","Q2-2020",""
862,"SHIP CONSTRUCTION","Galway County","Gilmartin Road, Tuam - Phase 2",24,"*N/A","","","","","","Q3-2019"
863,"SHIP CONSTRUCTION","Galway County","Cartron, Kinvara",10,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
864,"SHIP CONSTRUCTION","Galway County","Gort U� Lochlainn, Moycullen",31,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
865,"SHIP CONSTRUCTION","Galway County","Gilmartin Road, Tuam",16,"*N/A","","","","","","Q4-2018"
866,"SHIP CONSTRUCTION","Galway County","F�na Bhu�, Tuam",18,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
867,"SHIP CONSTRUCTION","Galway County","Gilmartin Road, Tuam - Phase 3",19,"*N/A","","","","","","Q4-2019"
868,"SHIP CONSTRUCTION","Galway County","Cnoc na Carraige , Roundstone",6,"*N/A","","","","","Q3-2019",""
869,"SHIP CONSTRUCTION","Galway County","Ballyglass, Ardrahan (SRD)",1,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
870,"SHIP CONSTRUCTION","Galway County","Woodpark, Portumna (SRD)",1,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
871,"SHIP CONSTRUCTION","Galway County","Carrowmore West, Clontuskert, Ballinasloe (SRD)",1,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
872,"SHIP CONSTRUCTION","Galway County","Cooralough, Williamstown (SRD)",1,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
873,"SHIP CONSTRUCTION","Galway County","Woodfireld, Dunmore (SRD)",1,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
874,"SHIP CONSTRUCTION","Galway County","Knockaloura West, Brownsgrove, Tuam (SRD)",1,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
875,"SHIP CONSTRUCTION","Galway County","Creggaturlough, Craughwell (SRD)",1,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
876,"SHIP CONSTRUCTION","Galway County","Hospital Road, Clifden",10,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
877,"SHIP CONSTRUCTION","Galway County","F�na Bhu�, Tuam",13,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
878,"SHIP CONSTRUCTION","Galway County","F�na Bhu�, Tuam",18,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
879,"CAS CONSTRUCTION TURNKEY","Galway County","Tubber Road, Gort",11,"Inis Housing Association Ltd","","","","","Q2-2020",""
880,"CAS CONSTRUCTION","Galway County","Letterfrack (Phase 2)",11,"Cluid Housing Association","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
881,"CAS CONSTRUCTION","Galway County","Rossaveal Cottages, Ros a Mh�l, South Connemara",8,"Tearmann Eanna Teoranta","Stage 1 approved Q4-2016, outline design and costs being prepared.","","","","",""
882,"CAS CONSTRUCTION","Galway County","Cregboy, Claregalway",14,"Claregalway and District Day Care Centre","","","","","","Q3-2019"
883,"CAS CONSTRUCTION","Galway County","Mountbellew",5,"Mountbellew Voluntary Homes Association","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
884,"CAS CONSTRUCTION","Galway County","Springfield, Parkmore, Ballinasloe",4,"Peter Triest Housing Association Ltd","","Stage 2 approved Q1-2020, full design/tender being prepared.","","","",""
885,"CAS CONSTRUCTION","Galway County","Letterfrack (Phase 1)",13,"Cluid Housing Association","","","","","","Q2-2016"
886,"CAS CONSTRUCTION","Galway County","Dunlo Hill, Ballinasloe",18,"Cluid Housing Association","","","","","","Q3-2020"
887,"CAS CONSTRUCTION","Galway County","Aggard More, Craughwell",4,"Peter Triest Housing Association Ltd","","","","","","Q4-2019"
888,"CAS CONSTRUCTION","Galway County","The Old Post Office, Inverin",4,"Tearmann Eanna Teoranta","","","","","Q4-2019",""
889,"CAS CONSTRUCTION","Galway County","Shannon Road, Portumna",4,"Carraig Dubh Housing Association","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
890,"CALF TURNKEY","Galway County","Cnoc na Si, Portumna, Co Galway (Phase 1)",10,"Co - Operative Housing Ireland Society Limited","","","","","","Q2-2018"
891,"CALF TURNKEY","Galway County","Dunloe Street, Ballinasloe, Co. Galway (Phase 1)",9,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2018",""
892,"CALF TURNKEY","Galway County","Oranhill, Oranmore, Co. Galway (Phase 1)*",22,"Cluid Housing","","","","Q2-2020","",""
893,"CALF TURNKEY","Galway County","Riveroaks, Claregalway, Co Galway  (Phase 1)",11,"Cluid Housing","","","","","Q4-2019",""
894,"CALF TURNKEY","Galway County","Riveroaks, Claregalway, Co Galway  (Phase 2)",12,"Cluid Housing","","","","","Q4-2019",""
895,"CALF TURNKEY","Galway County","Riveroaks, Claregalway, Co Galway  (Phase 3)*",16,"Cluid Housing","","","","","Q4-2019",""
896,"CALF CONSTRUCTION","Galway County","Spiddal Cottages, Co Galway (Phase 1)",23,"Cluid Housing","","","","","","Q3-2017"
897,"SHIP CONSTRUCTION TURNKEY","Kerry","Ard Na Si, Lispole",2,"*N/A","","","","","","Q1-2018"
898,"SHIP CONSTRUCTION TURNKEY","Kerry","1-4 Steeple Meadow View, Milltown",4,"*N/A","","","","","","Q4-2017"
899,"SHIP CONSTRUCTION TURNKEY","Kerry","Meadow Park, Milltown",9,"*N/A","","","","","","Q2-2018"
900,"SHIP CONSTRUCTION TURNKEY","Kerry","Ard Na Si, Lispole, Phase 2",5,"*N/A","","","","","","Q3-2018"
901,"SHIP CONSTRUCTION TURNKEY","Kerry","Ardmoniel Heights, Killorglin",3,"*N/A","","","","","","Q4-2018"
902,"SHIP CONSTRUCTION TURNKEY","Kerry","47 Woodview, Cahirdown, Listowel",1,"*N/A","","","","","","Q2-2018"
903,"SHIP CONSTRUCTION TURNKEY","Kerry","Dromin Upper, Listowel",8,"*N/A","","","","","Q4-2019",""
904,"SHIP CONSTRUCTION TURNKEY","Kerry","Ard Na Si, Lispole, Phase 3",3,"*N/A","","","","","","Q4-2018"
905,"SHIP CONSTRUCTION TURNKEY","Kerry","Ardmoniel Heights, Killorglin - Phase 2",1,"*N/A","","","","","","Q2-2019"
906,"SHIP CONSTRUCTION TURNKEY","Kerry","Ballygologue, Road, Listowel",2,"*N/A","","","","","","Q4-2019"
907,"SHIP CONSTRUCTION TURNKEY","Kerry","Marian Terrace, Ballyheigue",9,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
908,"SHIP CONSTRUCTION","Kerry","Pinewood Estate, Killarney",6,"*N/A","","","","","","Q4-2019"
909,"SHIP CONSTRUCTION","Kerry","Glannagilliagh, Caragh Lake, Killorglin (SRD)",1,"*N/A","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
910,"SHIP CONSTRUCTION","Kerry","Knockawinna, Brosna, Co Kerry",1,"*N/A","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
911,"SHIP CONSTRUCTION","Kerry","Carrigcannon, Lyreacrumpane (SRD)",1,"*N/A","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
912,"SHIP CONSTRUCTION","Kerry","Cois Gallain, Killorglin",14,"*N/A","","","","","","Q4-2019"
913,"SHIP CONSTRUCTION","Kerry","Rathmore/Barraduff",20,"*N/A","","","","","Q4-2019",""
914,"SHIP CONSTRUCTION","Kerry","Ardbhearna, Kenmare",22,"*N/A","","","","","","Q4-2018"
915,"SHIP CONSTRUCTION","Kerry","Bill Kinnerk Road, Tralee",4,"*N/A","","","","","","Q1-2018"
916,"SHIP CONSTRUCTION","Kerry","Cuirt Eaglaise, Milltown",8,"*N/A","","","","","","Q4-2019"
917,"SHIP CONSTRUCTION","Kerry","Killeen, Tralee",21,"*N/A","","","","","","Q3-2019"
918,"SHIP CONSTRUCTION","Kerry","Lixnaw",4,"*N/A","","","","","","Q4-2017"
919,"SHIP CONSTRUCTION","Kerry","The Park, Killarney",20,"*N/A","","","","","","Q1-2018"
920,"SHIP CONSTRUCTION","Kerry","Courthouse Lawn, Listowel",7,"*N/A","","","","","","Q4-2019"
921,"SHIP CONSTRUCTION","Kerry","Dreenagh, Ballyheigue (SRD)",1,"*N/A","","","","","","Q1-2017"
922,"SHIP CONSTRUCTION","Kerry","Glenach, Ballybunion",20,"*N/A","","","","","Q4-2019",""
923,"SHIP CONSTRUCTION","Kerry","Callinafercy, Milltown",1,"*N/A","","","","","","Q4-2018"
924,"SHIP CONSTRUCTION","Kerry","Cahernaboshina, Ventry",1,"*N/A","","","","","","Q4-2018"
925,"SHIP CONSTRUCTION","Kerry","An Carrigin, Tralee",28,"*N/A","","","","","Q2-2019",""
926,"SHIP CONSTRUCTION","Kerry","Pinewood Estate, Killarney",1,"*N/A","","","","","","Q4-2018"
927,"SHIP CONSTRUCTION","Kerry","Drom West, Glenbeigh",1,"*N/A","","","","","Q1-2020",""
928,"SHIP CONSTRUCTION","Kerry","Meanus, Killorglin",1,"*N/A","","","","","","Q3-2019"
929,"SHIP CONSTRUCTION","Kerry","Tullig Beg, Killorglin",1,"*N/A","","","","","","Q3-2019"
930,"SHIP CONSTRUCTION","Kerry","Owngarry, Killorglin",1,"*N/A","","","","","","Q4-2019"
931,"SHIP CONSTRUCTION","Kerry","Lohercannon, Tralee",61,"*N/A","","","","","Q3-2020",""
932,"SHIP CONSTRUCTION","Kerry","BallinaKilly Lower, Glenbeigh",1,"*N/A","","","","","Q1-2020",""
933,"SHIP CONSTRUCTION","Kerry","Ashgrove, Listowel",1,"*N/A","","","","","","Q3-2017"
934,"SHIP CONSTRUCTION","Kerry","Cullenagh Upper, Beaufort",1,"*N/A","","","","","Q1-2020",""
935,"SHIP CONSTRUCTION","Kerry","Farranwilliam, Ardfert",22,"*N/A","","","","","Q3-2019",""
936,"SHIP CONSTRUCTION","Kerry","Ballyrickard, Tralee",21,"*N/A","","","","","Q3-2020",""
937,"SHIP CONSTRUCTION","Kerry","Croogorts, Tralee",30,"*N/A","","","","","Q3-2020",""
938,"SHIP CONSTRUCTION","Kerry","Rock Rd., Killarney",10,"*N/A","","","","","Q3-2020",""
939,"SHIP CONSTRUCTION","Kerry","Gortamullin, Kenmare (Phase4)",14,"*N/A","","","","","Q4-2019",""
940,"SHIP CONSTRUCTION","Kerry","Baile an Gharra�, Lixnaw (PHASE 2)",10,"*N/A","","","","","Q1-2020",""
941,"SHIP CONSTRUCTION","Kerry","Woodview Place, Tarbert",22,"*N/A","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
942,"SHIP CONSTRUCTION","Kerry","Marconi South, Ballybunion",14,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
943,"SHIP CONSTRUCTION","Kerry","Rahoonane - New Site, Tralee",8,"*N/A","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
944,"SHIP CONSTRUCTION","Kerry","Rusheen, Ballylongford",7,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
945,"SHIP CONSTRUCTION","Kerry","Gortamullin, Kenmare (Phase 5)",14,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
946,"REGENERATION","Kerry","Croilar Na Mistaelach, Tralee",11,"*N/A","","","","","","Q4-2018"
947,"REGENERATION","Kerry","Urban Terrace, Tralee",2,"*N/A","","","","","","Q4-2016"
948,"REGENERATION","Kerry","Clonmore Road, Tralee",3,"*N/A","","","","","","Q4-2016"
949,"REGENERATION","Kerry","St Martin's Park, Tralee",4,"*N/A","","","","","","Q4-2018"
950,"REGENERATION","Kerry","Dingle Road, Tralee",1,"*N/A","","","","","","Q2-2018"
951,"CAS CONSTRUCTION","Kerry","Armagh House, Killarney",6,"Cluid Housing Association","","","","","Q4-2019",""
952,"CAS CONSTRUCTION","Kerry","22 College Road, Castleisland",4,"Kerry Emigrant Support Housing Association Ltd","","","","","","Q4-2018"
953,"CAS CONSTRUCTION","Kerry","Chamfers Place (Mitchels road, Tralee)",18,"Cluid Housing Association","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
954,"CAS CONSTRUCTION","Kerry","The Parsonage, Caherciveen",5,"Caherciveen Social Services (Housing) Ltd","","","","","","Q4-2018"
955,"CAS CONSTRUCTION","Kerry","The Presentation Convent, Rathmore",4,"Social Action Group Rathmore","","","","","","Q3-2020"
956,"CALF TURNKEY","Kerry","Ard Na Greine, Knockavota, Milltown, Co. Kerry (Phase 1)*",54,"Cluid Housing","","","","Q2-2020","",""
957,"CALF TURNKEY","Kerry","Barraduff, Killarney, Co. Kerry (Phase 1)*",15,"Co - Operative Housing Ireland Society Limited","","","","","Q4-2019",""
958,"CALF TURNKEY","Kerry","Barraduff, Killarney, Co. Kerry (Phase 2)*",14,"Co - Operative Housing Ireland Society Limited","","","","","Q4-2019",""
959,"CALF TURNKEY","Kerry","Barraduff, Killarney, Co. Kerry (Phase 3)",14,"Co - Operative Housing Ireland Society Limited","","","","","Q4-2019",""
960,"CALF TURNKEY","Kerry","Barraduff, Killarney, Co. Kerry (Phase 4)*",13,"Co - Operative Housing Ireland Society Limited","","","","","Q4-2019",""
961,"CALF TURNKEY","Kerry","Cathair Lakes Farrantoreen Road, Killorglin, Co Kerry (Phase 1)",5,"Cluid Housing","","","","","","Q2-2016"
962,"CALF TURNKEY","Kerry","Commons East, Ardfert, Co. Kerry (Phase 1)*",30,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2020",""
963,"CALF TURNKEY","Kerry","Deerpark Avenue, Tralee, Co. Kerry (Phase 1)",4,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2020"
964,"CALF TURNKEY","Kerry","Derreen, Killarney, Co Kerry  (Phase 1)*",61,"Cluid Housing","","","","","","Q3-2020"
965,"CALF TURNKEY","Kerry","Doon Road, Lisloose, Tralee, Co. Kerry (Phase 1)*",14,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2020"
966,"CALF TURNKEY","Kerry","Dromcairn, Tralee, Co. Kerry (Phase 1)",12,"Cluid Housing","","","","","Q1-2019",""
967,"CALF TURNKEY","Kerry"," Dun Ard, Doon Road, Ballybunnion, Co Kerry (Phase 1)",14,"Respond","","","","","","Q4-2018"
968,"CALF TURNKEY","Kerry"," Dun Ard, Doon Road, Ballybunnion, Co Kerry (Phase 2)",2,"Respond","","","","","","Q4-2019"
969,"CALF TURNKEY","Kerry"," Dun Ard, Doon Road, Ballybunnion, Co Kerry (Phase 3)",5,"Respond","","","","","","Q2-2020"
970,"CALF TURNKEY","Kerry"," Dun Ard, Doon Road, Ballybunnion, Co Kerry (Phase 4)",1,"Respond","","","","","Q3-2018",""
971,"CALF TURNKEY","Kerry","Fortfield, Tralee, Co. Kerry (Phase 1)*",15,"Cluid Housing","","","","","","Q4-2019"
972,"CALF TURNKEY","Kerry","Hunters Lodge, Hunters Wood, Ballyseedy, Tralee, Co. Kerry (Phase 1)",10,"Cluid Housing","","","","Q2-2020","",""
973,"CALF TURNKEY","Kerry","Killeen, Abbeydorney Road, Tralee, Co. Kerry (Phase 1)*",17,"Cluid Housing","","","","","","Q4-2019"
974,"CALF TURNKEY","Kerry","Lios Ard, Lisloose, Tralee, Co. Kerry (Phase 1)",28,"Cluid Housing","","","","","Q4-2019",""
975,"CALF TURNKEY","Kerry","Moanmore, Pound Road, Castleisland, Co. Kerry (Phase 1)*",14,"Cluid Housing","","","","","Q2-2020",""
976,"CALF TURNKEY","Kerry","Oakwood, Coolegrean, Killarney, Co. Kerry (Phase 1)",59,"Cluid Housing","","","","","","Q3-2019"
977,"CALF TURNKEY","Kerry","Sruthan na Saili, Derreen, Co. Kerry (Phase 1)*",22,"Cluid Housing","","","","","Q1-2020",""
978,"CALF TURNKEY","Kerry","The Grove, Dingle, Co. Kerry (Phase 1)*",20,"Cluid Housing","","","","","","Q3-2020"
979,"SHIP CONSTRUCTION TURNKEY","Kildare","Bodkin Place, Kilmeague",16,"*N/A","","","","","","Q4-2017"
980,"SHIP CONSTRUCTION TURNKEY","Kildare","Drogheda Street, Monasterevin",6,"*N/A","","","","","","Q4-2017"
981,"SHIP CONSTRUCTION TURNKEY","Kildare","Oaktree, Tully Road, Kildare Town",8,"*N/A","","","","","","Q3-2018"
982,"SHIP CONSTRUCTION TURNKEY","Kildare","Moore Abbey Court, Monasterevin",2,"*N/A","","","","","","Q1-2018"
983,"SHIP CONSTRUCTION TURNKEY","Kildare","Drogheda Street, Monasterevin (Phase 2)",7,"*N/A","","","","","","Q1-2018"
984,"SHIP CONSTRUCTION TURNKEY","Kildare","Moss Brook, Prosperous",2,"*N/A","","","","","","Q1-2018"
985,"SHIP CONSTRUCTION TURNKEY","Kildare","Hawthorn Manor, Brockagh, Coill Dubh",2,"*N/A","","","","","","Q4-2018"
986,"SHIP CONSTRUCTION TURNKEY","Kildare","Whitethorn Park, Allenwood",2,"*N/A","","","","","","Q3-2018"
987,"SHIP CONSTRUCTION TURNKEY","Kildare","The Pike, Castledermot",6,"*N/A","","","","","","Q4-2018"
988,"SHIP CONSTRUCTION TURNKEY","Kildare","Grove Lane, Robertstown",3,"*N/A","","","","","","Q1-2020"
989,"SHIP CONSTRUCTION TURNKEY","Kildare","Brookes Mill, Prosperous",5,"*N/A","","","","","","Q4-2018"
990,"SHIP CONSTRUCTION TURNKEY","Kildare","The Green, Elsmore Naas",5,"*N/A","","","","","","Q4-2018"
991,"SHIP CONSTRUCTION TURNKEY","Kildare","Oakwood Park, Derrinturn ",10,"*N/A","","","","","","Q1-2019"
992,"SHIP CONSTRUCTION TURNKEY","Kildare","Oakwood Park, Derrinturn ",16,"*N/A","","","","","","Q3-2020"
993,"SHIP CONSTRUCTION TURNKEY","Kildare","Beech Park Wood, Leixlip",4,"*N/A","","","","","","Q3-2019"
994,"SHIP CONSTRUCTION TURNKEY","Kildare","Oaktree, Tully Road, Kildare Town",18,"*N/A","","","","","","Q2-2019"
995,"SHIP CONSTRUCTION TURNKEY","Kildare","Oakwood Park, Derrinturn ",10,"*N/A","","","","","","Q3-2019"
